date,store_nbr,family,lgbm_pred,xgb_pred,ensemble_pred
2017-08-16,1,AUTOMOTIVE,2.0359989593055476,2.8896172,2.377446328975357
2017-08-17,1,AUTOMOTIVE,1.9380840330132183,1.5463632,1.7813957136159144
2017-08-18,1,AUTOMOTIVE,1.8677534445217017,1.3528028,1.6617731919342733
2017-08-19,1,AUTOMOTIVE,3.8171151087941224,4.4600525,4.074290085212081
2017-08-20,1,AUTOMOTIVE,1.8677534445217017,1.3528028,1.6617731919342733
2017-08-21,1,AUTOMOTIVE,1.6816485667003784,0.35881606,1.1525155600174424
2017-08-22,1,AUTOMOTIVE,1.78047548130651,0.68885493,1.3438272797793132
2017-08-23,1,AUTOMOTIVE,1.6816485667003784,0.9259088,1.3793526735170838
2017-08-24,1,AUTOMOTIVE,1.6816485667003784,0.9259088,1.3793526735170838
2017-08-25,1,AUTOMOTIVE,1.8677534445217017,0.89828426,1.4799657633358694
2017-08-26,1,AUTOMOTIVE,3.2565306536958385,2.754388,3.0556736536387064
2017-08-27,1,AUTOMOTIVE,1.8677534445217017,0.770009,1.4286556711250997
2017-08-28,1,AUTOMOTIVE,1.6816485667003784,0.0,1.008989140020227
2017-08-29,1,AUTOMOTIVE,1.6816485667003784,0.21846361,1.0963745858534333
2017-08-30,1,AUTOMOTIVE,1.6816485667003784,1.0037402,1.4104852225645539
2017-08-31,1,AUTOMOTIVE,2.7406798230184926,1.6263752,2.2949579612358697
2017-08-16,1,BABY CARE,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-17,1,BABY CARE,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-18,1,BABY CARE,1.2368400872565484,0.90861183,1.105548797894548
2017-08-19,1,BABY CARE,1.644243524543926,2.6644132,2.052311376376441
2017-08-20,1,BABY CARE,1.2368400872565484,0.90861183,1.105548797894548
2017-08-21,1,BABY CARE,1.2156408452174052,0.0,0.7293845071304431
2017-08-22,1,BABY CARE,1.2156408452174052,0.357066,0.872210915278255
2017-08-23,1,BABY CARE,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-24,1,BABY CARE,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-25,1,BABY CARE,1.2368400872565484,0.6826703,1.015172182370256
2017-08-26,1,BABY CARE,1.644243524543926,2.3101962,1.9106245792344123
2017-08-27,1,BABY CARE,1.2368400872565484,0.554395,0.9638620603571638
2017-08-28,1,BABY CARE,1.2156408452174052,0.0,0.7293845071304431
2017-08-29,1,BABY CARE,1.2156408452174052,0.0028489702,0.7305240952024078
2017-08-30,1,BABY CARE,1.2156408452174052,0.7881259,1.0446348740566362
2017-08-31,1,BABY CARE,1.761382497943867,1.4107606,1.6211337909683161
2017-08-16,1,BEAUTY,2.5565597948706418,2.1567523,2.3966368161008518
2017-08-17,1,BEAUTY,3.143293834938774,1.5463632,2.504521594771248
2017-08-18,1,BEAUTY,2.5459228317935043,1.3528028,2.068674824297355
2017-08-19,1,BEAUTY,4.6377666375822155,3.6372445,4.237557743894239
2017-08-20,1,BEAUTY,2.5459228317935043,1.1242259,1.9772440410255654
2017-08-21,1,BEAUTY,2.6162534202850227,0.97927064,1.9614603069851615
2017-08-22,1,BEAUTY,2.458644868578313,0.68885493,1.7507289121423948
2017-08-23,1,BEAUTY,2.359817953972181,0.69733244,1.6948237610269548
2017-08-24,1,BEAUTY,2.359817953972181,0.9259088,1.7862543058801652
2017-08-25,1,BEAUTY,2.5459228317935043,0.89828426,1.886867395698951
2017-08-26,1,BEAUTY,4.6377666375822155,2.771088,3.891095136510511
2017-08-27,1,BEAUTY,2.5459228317935043,0.770009,1.8355573034881814
2017-08-28,1,BEAUTY,2.359817953972181,0.004599022,1.4177303812686564
2017-08-29,1,BEAUTY,2.359817953972181,0.21846361,1.5032762182165147
2017-08-30,1,BEAUTY,2.359817953972181,1.0037402,1.8173868549276353
2017-08-31,1,BEAUTY,3.418849210290295,1.6263752,2.701859593598951
2017-08-16,1,BEVERAGES,2296.4968541004782,2177.5315,2248.9107467376307
2017-08-17,1,BEVERAGES,2981.079621028775,4041.021,3405.05621988289
2017-08-18,1,BEVERAGES,1867.0491149634574,2576.5693,2150.857276595262
2017-08-19,1,BEVERAGES,1771.7728019707438,2410.979,2027.4552827449463
2017-08-20,1,BEVERAGES,362.49319532948897,682.62164,490.5445927348028
2017-08-21,1,BEVERAGES,3176.604585539465,3151.6526,3166.6237620658667
2017-08-22,1,BEVERAGES,2674.19254850148,3394.758,2962.4187273430753
2017-08-23,1,BEVERAGES,1117.5439882326516,1459.0459,1254.1447401075598
2017-08-24,1,BEVERAGES,1121.0385153275379,1443.6497,1250.0830090988666
2017-08-25,1,BEVERAGES,311.05605412377656,555.1238,408.68314724477375
2017-08-26,1,BEVERAGES,578.9721130764276,635.98645,601.7778448722238
2017-08-27,1,BEVERAGES,187.13997087356088,491.0488,308.7035076706209
2017-08-28,1,BEVERAGES,949.5206149518033,1189.3419,1045.449154859754
2017-08-29,1,BEVERAGES,474.3424124660212,594.74384,522.5029847110579
2017-08-30,1,BEVERAGES,302.9611798029986,576.8045,412.4985096396116
2017-08-31,1,BEVERAGES,327.6124727082241,582.531,429.57988902044224
2017-08-16,1,BOOKS,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-17,1,BOOKS,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-18,1,BOOKS,1.2368400872565484,0.90861183,1.105548797894548
2017-08-19,1,BOOKS,1.644243524543926,2.6644132,2.052311376376441
2017-08-20,1,BOOKS,1.2368400872565484,0.90861183,1.105548797894548
2017-08-21,1,BOOKS,1.2156408452174052,0.0,0.7293845071304431
2017-08-22,1,BOOKS,1.2156408452174052,0.357066,0.872210915278255
2017-08-23,1,BOOKS,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-24,1,BOOKS,1.2156408452174052,0.48171797,0.9220717056501498
2017-08-25,1,BOOKS,1.2368400872565484,0.6826703,1.015172182370256
2017-08-26,1,BOOKS,1.644243524543926,2.3101962,1.9106245792344123
